poids_kg,volume_m3,valeur_marchandise,distance_km,mode_transport,type_marchandise,port_origine,destination,mois,type_conteneur,incoterm,volume_annuel_tonnes,cout_mad_kg,cout_mad_m3,cout_total,ratio_valeur_cout
689.13,2.51,3751.16,500,routier,general,Agadir,Europe_Sud,1,20_std,DDP,0,0.855,235.176,589.20615,6.366464436937734
335.01,0.94,2546.95,3000,aerien,general,Tanger-Med,Europe_Sud,2,20_std,DDP,5000,11.106,3950.684,3720.62106,0.6845496918194619
185949.9,761.2,812352.48,2000,maritime,general,Casablanca,Europe_Nord,5,20_std,EXW,500,0.313,76.554,58202.318699999996,13.95739032644416
33553.94,154.45,572160.65,5000,maritime,general,Casablanca,Afrique_Ouest,5,20_std,CIF,0,0.968,210.338,32480.213920000002,17.61566753868227
3652.58,18.64,25210.36,500,routier,general,Casablanca,Moyen_Orient,6,palette,FCA,0,0.823,161.221,3006.07334,8.386475361243184
561.14,2.79,23891.96,2000,routier,fragile,Tanger-Med,Amerique_Sud,6,40_hc,FOB,10000,2.213,444.639,1241.80282,19.239737271654768
4488.64,10.8,83828.53,50,routier,perissable,Tanger-Med,Europe_Sud,11,20_std,EXW,5000,0.349,145.158,1566.53536,53.51205733396276
26.1,0.13,1444.69,5000,aerien,fragile,Agadir,Europe_Sud,9,20_std,DAT,10000,13.366,2726.163,348.8526,4.141261954189248
1939.0,5.97,88530.14,9000,maritime,perissable,Casablanca,Europe_Sud,12,40_std,FCA,500,2.12,688.971,4110.68,21.536616812790097
225398.38,514.66,928936.24,9000,maritime,perissable,Tanger-Med,Europe_Sud,7,20_std,FOB,0,2.124,930.227,478746.15912,1.9403523606487205
322.47,1.17,3065.83,2000,routier,general,Tanger-Med,Asie,8,20_std,DDP,0,3.034,838.664,978.3739800000001,3.133597236508681
166.72,0.85,15216.85,6000,aerien,fragile,Tanger-Med,Moyen_Orient,5,vrac,EXW,100,14.009,2738.312,2335.58048,6.515232564368752
339.75,2.01,14333.4,10000,aerien,fragile,Casablanca,Europe_Sud,9,vrac,FCA,0,21.588,3655.558,7334.523,1.9542375148322528
3502.64,14.76,31135.88,500,routier,general,Tanger-Med,Europe_Nord,2,40_hc,FOB,1000,0.421,99.972,1474.61144,21.1146334250601
112.2,0.41,990.34,800,routier,general,Tanger-Med,Afrique_Ouest,7,palette,FOB,0,1.113,304.561,124.8786,7.930422025871526
3817.82,18.1,19797.64,50,routier,general,Tanger-Med,Asie,2,40_std,FOB,0,0.384,81.118,1466.0428800000002,13.504134340190648
1255.59,8.33,16853.87,50,routier,fragile,Tanger-Med,Afrique_Ouest,8,20_std,FOB,0,0.532,80.099,667.97388,25.231330901741245
